MeterNo,MeterType,LONG,LAT,Status,Borough
3013690,Strada,-73.9940471489,40.7031525622,Active,Brooklyn
3013689,Strada,-73.9932509966,40.7032952647,Active,Brooklyn
3013688,Strada,-73.9937896626,40.7028243409,Active,Brooklyn
3013547,Strada,-73.9928286113,40.6977162771,Active,Brooklyn
3013546,Strada,-73.9929580186,40.6977077104,Active,Brooklyn
3013545,Strada,-73.9926350303,40.6983836328,Active,Brooklyn
3013544,Strada,-73.992262416,40.6991580245,Active,Brooklyn
3013543,Strada,-73.9920052336,40.6996948392,Active,Brooklyn
4522522,Strada,-73.8552517153,40.711209895,Active,Queens
4522521,Strada,-73.8543730697,40.7110721152,Active,Queens
4522520,Strada,-73.8528784693,40.7108412461,Active,Queens
4522519,Strada,-73.852361656,40.7107557715,Active,Queens
4522518,Strada,-73.8516165703,40.710635836,Active,Queens
4522517,Strada,-73.8508823564,40.7106261433,Active,Queens
4522516,Strada,-73.850308334,40.7104301772,Active,Queens
4522515,Strada,-73.8497136135,40.7103335193,Active,Queens
4522514,Strada,-73.8492321112,40.7102549089,Active,Queens
4522513,Strada,-73.848266318,40.7103125407,Active,Queens
4522512,Strada,-73.8481198227,40.7100791716,Active,Queens
4522511,Strada,-73.847597595,40.7099975514,Active,Queens
4522510,Strada,-73.8467280071,40.7098606699,Active,Queens
4522509,Strada,-73.84546688,40.7096538885,Active,Queens
4451775,Strada,-73.8486679987,40.7317287792,Active,Queens
4451776,Strada,-73.8489609053,40.7323231723,Active,Queens
4451777,Strada,-73.8489894782,40.7324037585,Active,Queens
4451778,Strada,-73.849259756,40.732998783,Active,Queens
4451779,Strada,-73.8491747788,40.7331139324,Active,Queens
4451780,Strada,-73.8496062701,40.733662147,Active,Queens
4451781,Strada,-73.8496340118,40.7337433758,Active,Queens
4451782,Strada,-73.8500659356,40.7340276688,Active,Queens
4451783,Strada,-73.8499772603,40.7343204638,Active,Queens
4361762,Strada,-73.8879366735,40.7014001224,Active,Queens
4361761,Strada,-73.8872186154,40.7014638563,Active,Queens
4361760,Strada,-73.8859482901,40.7015694144,Active,Queens
4361759,Strada,-73.8851743679,40.7016341203,Active,Queens
4361758,Strada,-73.8841681708,40.7017189733,Active,Queens
4361757,Strada,-73.8832764737,40.7017926214,Active,Queens
4361756,Strada,-73.8822578215,40.7018768345,Active,Queens
4361755,Strada,-73.8816145523,40.7019318408,Active,Queens
4361754,Strada,-73.8807305325,40.7019987773,Active,Queens
4361753,Strada,-73.870387061,40.7028403323,Active,Queens
4181672,Strada,-73.9120215504,40.7771373526,Active,Queens
4181656,Strada,-73.9092316188,40.7785786199,Active,Queens
4181655,Strada,-73.9087486311,40.7782349389,Active,Queens
4181695,Strada,-73.8905291842,40.7706890991,Active,Queens
4181694,Strada,-73.8923381418,40.770498736,Active,Queens
4181693,Strada,-73.8932707842,40.7704003943,Active,Queens
4152103,Strada,-73.941239753,40.7508553279,Active,Queens
4152104,Strada,-73.9416215867,40.7510202633,Active,Queens
4152052,Strada,-73.9428125312,40.7473103976,Active,Queens
4152049,Strada,-73.9393092187,40.7481377472,Active,Queens
4152048,Strada,-73.9398818715,40.7479317361,Active,Queens
4152105,Strada,-73.9439075034,40.7498405394,Active,Queens
4152155,Strada,-73.9530202214,40.7468940645,Inactive,Queens
4152143,Strada,-73.9565720291,40.7454602437,Active,Queens
4152150,Strada,-73.9532495266,40.7462869859,Active,Queens
4152144,Strada,-73.9568210206,40.7458338207,Active,Queens
4152142,Strada,-73.9556824846,40.7456008729,Active,Queens
4152149,Strada,-73.9536963605,40.7455526142,Active,Queens
4152133,Strada,-73.9533914056,40.7450967906,Active,Queens
4152132,Strada,-73.9531919445,40.7456902715,Active,Queens
4152131,Strada,-73.9529130459,40.7465238973,Inactive,Queens
4152130,Strada,-73.9523013912,40.7478557972,Active,Queens
4152125,Strada,-73.9536324014,40.7438843078,Active,Queens
4152141,Strada,-73.9533118034,40.7440890364,Active,Queens
4152140,Strada,-73.9515710304,40.743752677,Active,Queens
4152127,Strada,-73.9531672539,40.745267669,Active,Queens
4152147,Strada,-73.953178079,40.7448015405,Active,Queens
4152124,Strada,-73.953927736,40.7429927371,Active,Queens
4152126,Strada,-73.9534246241,40.7445061365,Active,Queens
4152148,Strada,-73.9531663838,40.7447115274,Active,Queens
4122291,Strada,-73.8903694197,40.7467227453,Active,Queens
4122295,Strada,-73.8880228403,40.747143737,Active,Queens
4122292,Strada,-73.8900244382,40.7469334629,Active,Queens
4122293,Strada,-73.889584972,40.7468282234,Active,Queens
4122297,Strada,-73.8862084966,40.7473347763,Active,Queens
4122296,Strada,-73.8870419319,40.7472452596,Active,Queens
4122294,Strada,-73.8888905519,40.747052523,Active,Queens
4122392,Strada,-73.8840991559,40.7482364057,Active,Queens
4122391,Strada,-73.8842463074,40.749033324,Active,Queens
4122393,Strada,-73.8852511301,40.749416745,Active,Queens
4122394,Strada,-73.8849655196,40.7478448279,Active,Queens
4122395,Strada,-73.8851368147,40.7493881435,Active,Queens
4122390,Strada,-73.8839749468,40.7482497883,Active,Queens
4122389,Strada,-73.8840641473,40.748748179,Active,Queens
4122388,Strada,-73.8841729368,40.7493410156,Active,Queens
4122386,Strada,-73.8833908365,40.7496164443,Active,Queens
4122385,Strada,-73.8831162221,40.7480921463,Active,Queens
4122342,Strada,-73.8846314839,40.7476189312,Active,Queens
4122341,Strada,-73.8834551371,40.747742649,Active,Queens
4072282,Strada,-73.9064742531,40.7680811218,Active,Queens
4072251,Strada,-73.9175436104,40.7647506257,Active,Queens
4072248,Strada,-73.9182504076,40.7652410362,Active,Queens
4072252,Strada,-73.9169626364,40.7647555979,Active,Queens
4072272,Strada,-73.9164735465,40.7648636309,Active,Queens
4072244,Strada,-73.9167889802,40.7644735733,Active,Queens
4072273,Strada,-73.9169936603,40.7648967419,Active,Queens
4072250,Strada,-73.9175527346,40.7648895395,Active,Queens
4072249,Strada,-73.9176894293,40.765097968,Active,Queens
4072276,Strada,-73.9178842427,40.7653146486,Active,Queens
4072275,Strada,-73.9172911125,40.7652152427,Inactive,Queens
4072277,Strada,-73.9179633913,40.7655952427,Active,Queens
4072164,Strada,-73.9247010451,40.7559337733,Active,Queens
4072170,Strada,-73.9239639733,40.754275995,Active,Queens
4072169,Strada,-73.923613501,40.7547062913,Active,Queens
4072168,Strada,-73.9232624195,40.7551403061,Active,Queens
4072175,Strada,-73.9232209901,40.7563908709,Active,Queens
4072174,Strada,-73.9243195745,40.758236909,Active,Queens
4072167,Strada,-73.9233996516,40.7548177346,Active,Queens
4072166,Strada,-73.9231119756,40.7551710661,Active,Queens
4072178,Strada,-73.9227264112,40.7556523202,Active,Queens
4072177,Strada,-73.9217970137,40.7567948235,Active,Queens
4072176,Strada,-73.9227669562,40.7557573553,Active,Queens
4072172,Strada,-73.9232787568,40.7557447805,Active,Queens
4072163,Strada,-73.9233174729,40.7556340333,Active,Queens
4072189,Strada,-73.9234670144,40.7579654233,Active,Queens
4072171,Strada,-73.9226979501,40.7554715453,Active,Queens
4072173,Strada,-73.9243943611,40.7561398783,Active,Queens
1228483,Strada,-73.9509192937,40.8260772984,Active,Manhattan
1228482,Strada,-73.9502238812,40.827027891,Active,Manhattan
1228481,Strada,-73.9499460502,40.8274115142,Active,Manhattan
1228442,Strada,-73.9495495129,40.8273792162,Active,Manhattan
1228441,Strada,-73.9498824585,40.8269204302,Active,Manhattan
1228440,Strada,-73.9494939176,40.8261184875,Active,Manhattan
1228439,Strada,-73.9489666199,40.8258982445,Active,Manhattan
1228438,Strada,-73.9482073387,40.8255803453,Active,Manhattan
1228437,Strada,-73.9484545582,40.8254964416,Active,Manhattan
1228436,Strada,-73.9490177921,40.825733082,Active,Manhattan
1228435,Strada,-73.9495528561,40.8259577829,Active,Manhattan
1228434,Strada,-73.9505623152,40.82598957,Active,Manhattan
1218185,Strada,-73.9619147884,40.8110195452,Active,Manhattan
1218184,Strada,-73.9616598695,40.8113688889,Active,Manhattan
1218189,Strada,-73.9638774008,40.8083276774,Active,Manhattan
1218188,Strada,-73.9635733834,40.8087432553,Active,Manhattan
1218187,Strada,-73.9631296491,40.8093527099,Active,Manhattan
1218186,Strada,-73.9627940728,40.8098135147,Active,Manhattan
1433901,Strada,-73.9717496401,40.7637820768,Active,Manhattan
1433900,Strada,-73.9724254286,40.7640660128,Active,Manhattan
4072236,Strada,-73.9159011261,40.7606946683,Active,Queens
4072235,Strada,-73.9168077191,40.7611237031,Active,Queens
4072234,Strada,-73.9174563118,40.7614279315,Active,Queens
4072233,Strada,-73.9183086345,40.7618310071,Active,Queens
4072241,Strada,-73.9181490942,40.7618829673,Active,Queens
4072240,Strada,-73.9174837524,40.7615712044,Active,Queens
4072239,Strada,-73.9166667736,40.7611846545,Inactive,Queens
4072237,Strada,-73.9159473204,40.7608441165,Active,Queens
4072238,Strada,-73.916037152,40.7611803423,Inactive,Queens
4072247,Strada,-73.9176857269,40.7618627234,Active,Queens
4072246,Strada,-73.9160614535,40.7638580244,Active,Queens
4072245,Strada,-73.9159943391,40.7640942859,Active,Queens
4072243,Strada,-73.9166810649,40.764453478,Active,Queens
4072242,Strada,-73.9184318129,40.7623067437,Active,Queens
4072254,Strada,-73.915548088,40.7640904954,Active,Queens
4072253,Strada,-73.9160845395,40.7643425883,Active,Queens
4072269,Strada,-73.9156996258,40.7644521076,Active,Queens
4072268,Strada,-73.9156115478,40.7644104776,Active,Queens
4072267,Strada,-73.9154912504,40.7641906474,Active,Queens
4072270,Strada,-73.916200296,40.764523728,Active,Queens
4072271,Strada,-73.9164022735,40.7647957208,Active,Queens
4072278,Strada,-73.914071638,40.7655904698,Active,Queens
4072280,Strada,-73.9134146641,40.7654085731,Active,Queens
4072281,Strada,-73.9141740846,40.765768873,Active,Queens
1109655,Strada,-73.9441824967,40.8149300885,Active,Manhattan
1109654,Strada,-73.9436017336,40.8157214374,Active,Manhattan
1109653,Strada,-73.9422014879,40.8176380163,Active,Manhattan
1109652,Strada,-73.9403929245,40.8201173019,Active,Manhattan
1109651,Strada,-73.9399583207,40.8207099371,Active,Manhattan
1109650,Strada,-73.9395998359,40.8212024484,Active,Manhattan
1109649,Strada,-73.9389925676,40.8220335397,Active,Manhattan
1109648,Strada,-73.9391989939,40.8211870004,Active,Manhattan
1109647,Strada,-73.9395481498,40.8207056337,Active,Manhattan
1109646,Strada,-73.9419133388,40.81747028,Active,Manhattan
1109645,Strada,-73.9422799468,40.8169686587,Inactive,Manhattan
1109644,Strada,-73.943226992,40.8156720224,Active,Manhattan
1109643,Strada,-73.9438228443,40.8148563099,Active,Manhattan
1259667,Strada,-73.938444715,40.8176355541,Active,Manhattan
1259666,Strada,-73.9382836167,40.8174060908,Active,Manhattan
1369640,Strada,-73.9396099895,40.8363506308,Active,Manhattan
1369642,Strada,-73.9399145828,40.8364116066,Active,Manhattan
1369641,Strada,-73.9402016098,40.8367776715,Active,Manhattan
1369639,Strada,-73.9407817138,40.8344132561,Active,Manhattan
1369638,Strada,-73.9411860345,40.8338565172,Active,Manhattan
1369637,Strada,-73.9416931176,40.8331617695,Active,Manhattan
1369636,Strada,-73.9411358827,40.8312406035,Active,Manhattan
1369635,Strada,-73.9439520038,40.8300638071,Active,Manhattan
1369632,Strada,-73.9465815033,40.8268047151,Active,Manhattan
1369631,Strada,-73.9467462796,40.8262516881,Active,Manhattan
1369633,Strada,-73.9474801801,40.825575921,Active,Manhattan
1369630,Strada,-73.9468686881,40.8250178712,Active,Manhattan
1369629,Strada,-73.945061787,40.8242554941,Active,Manhattan
1369634,Strada,-73.9470468681,40.8249059783,Active,Manhattan
1374997,Strada,-73.9308804092,40.8533846806,Active,Manhattan
1374996,Strada,-73.9303932352,40.8540515564,Active,Manhattan
1374995,Strada,-73.930076548,40.8544855809,Active,Manhattan
1374994,Strada,-73.9294475564,40.8553414768,Active,Manhattan
